variant,dataset,model,kc,poison_rate,n,clean_acc_mean_pct,clean_acc_std_pct,valid_asr_mean_pct,valid_asr_std_pct,wrong_asr_mean_pct,wrong_asr_std_pct,single_leak_mean_pct,single_leak_std_pct,invalid_leak_mean_pct,invalid_leak_std_pct,csg_mean_pct,csg_std_pct
equal,cifar10,resnet18,8,0.01,3,93.96666666666667,0.3225419869309042,99.45138888888889,0.09638528651610459,0.9407407407407408,0.39695341850260635,3.152708333333334,0.38620566762844544,4.736904761904762,0.5840901189087202,94.71448412698412,0.6688483658463618
equal,cifar10,vgg11,8,0.01,3,90.67,0.14798648586948762,97.88194444444444,0.3943833090337807,3.2740740740740737,0.3304193619213472,8.772499999999999,0.6476076768576795,12.860833333333336,0.4941235132469797,85.02111111111111,0.8845758953292168
equal,cifar100,vgg11,8,0.01,3,67.85333333333334,0.22501851775650686,96.72138047138047,0.5362704372540008,0.43771043771043777,0.12830005981991688,4.267708333333333,0.37096281681367144,3.431785714285714,0.4761960974370598,92.45367213804712,0.48653427118203485
equal,gtsrb,vgg11,8,0.01,3,96.71153338611771,0.035702690046105795,94.32142914058485,1.0183223727203978,1.2986215358171695,0.7745539817025926,2.1095605700712587,0.06004879799837478,2.272178863627795,0.319452660799696,92.0103217997863,0.8144586220160852
full_feedback_tuned_v2,cifar10,resnet18,8,0.01,3,93.88000000000001,0.24556058315617427,99.63379629629631,0.08138146218170302,0.6111111111111112,0.029397236789606564,3.024375,0.11962343259161232,4.68297619047619,0.3189980694021719,94.95082010582011,0.3394402474201036
full_feedback_tuned_v2,cifar10,vgg11,8,0.01,3,90.47666666666666,0.14640127503998582,98.22824074074074,0.37596668954322154,2.5444444444444447,0.7446931591162684,8.336875,0.21306634090113857,12.541488095238096,0.6314352711883308,85.68675264550265,0.3502405328627805
full_feedback_tuned_v2,cifar100,vgg11,8,0.01,3,67.74000000000001,0.32511536414017705,97.83249158249157,0.7379856986226877,0.35353535353535354,0.06998185081086374,3.4266666666666667,0.7943291030538497,2.8344642857142857,0.7459232953192974,94.40582491582492,1.5249724935455988
full_feedback_tuned_v2,gtsrb,vgg11,8,0.01,3,96.84085510688836,0.6239896900675856,94.97580712585436,1.2604320567396279,1.5187207910650977,0.4737432280132123,2.8160464502507256,0.43781571785932577,2.5851619349244053,0.514531402013182,92.10287608487106,1.5226330000534636
no_ema,cifar10,resnet18,8,0.01,3,93.50999999999999,0.3207802986469055,99.58981481481483,0.12361371199927573,0.7296296296296296,0.21554791891779945,2.841041666666667,0.08727724622336197,4.333571428571428,0.28507970824143297,95.25624338624338,0.3567805450211365
no_ema,cifar10,vgg11,8,0.01,3,89.86000000000001,0.17058722109231794,99.1587962962963,0.23265581751563774,1.277777777777778,0.33829638550307406,7.496041666666666,0.17496688674813096,11.743809523809523,0.2521440164211854,87.41498677248677,0.4245823232963124
no_ema,cifar100,vgg11,8,0.01,3,67.44666666666666,0.16653327995729095,97.75042087542086,0.5529385291993038,0.27272727272727276,0.157782821735488,2.72625,0.6299751979244896,2.5107142857142857,0.4290768225421378,94.93845658970659,0.6080623912812635
no_ema,gtsrb,vgg11,8,0.01,3,96.68514119820534,0.105139003890434,95.22861814868546,1.028145557481517,1.0526639392011732,0.5552901961287692,2.8998416468725257,0.39533469824130796,2.7795686762432603,0.6183558276306164,92.28859910860704,0.6785185233413569
