run_name,dataset,model,seed,clean_acc,valid_asr,wrong_asr,single_leak,invalid_leak,csg
cifar100_resnet18_full_fdiv_pr0.05_kc8_seed0,cifar100,resnet18,0,0.7619,0.9990151515151515,0.0006060606060606061,0.010175,0.011267857142857144,0.9877472943722944
cifar100_resnet18_full_fdiv_pr0.05_kc8_seed1,cifar100,resnet18,1,0.7593,0.9990530303030303,0.00030303030303030303,0.011125,0.010726785714285715,0.9879280303030302
cifar100_resnet18_full_fdiv_pr0.05_kc8_seed2,cifar100,resnet18,2,0.7632,0.9980934343434344,0.0012121212121212121,0.01085625,0.013798214285714285,0.9842952200577202
cifar100_vgg11_full_fdiv_pr0.05_kc8_seed0,cifar100,vgg11,0,0.6821,0.9987373737373737,0.00020202020202020202,0.013025,0.01714107142857143,0.9815963023088022
cifar100_vgg11_full_fdiv_pr0.05_kc8_seed1,cifar100,vgg11,1,0.6775,0.998699494949495,0.00040404040404040404,0.011275,0.01568392857142857,0.9830155663780664
cifar100_vgg11_full_fdiv_pr0.05_kc8_seed2,cifar100,vgg11,2,0.6744,0.998409090909091,0.00030303030303030303,0.01574375,0.02047857142857143,0.9779305194805196
cifar10_resnet18_full_fdiv_pr0.05_kc8_seed0,cifar10,resnet18,0,0.937,0.9998194444444445,0.0005555555555555556,0.02290625,0.037135714285714286,0.9626837301587302
cifar10_resnet18_full_fdiv_pr0.05_kc8_seed1,cifar10,resnet18,1,0.9402,0.9999166666666667,0.00022222222222222223,0.02190625,0.03674821428571429,0.9631684523809524
cifar10_resnet18_full_fdiv_pr0.05_kc8_seed2,cifar10,resnet18,2,0.9443,0.9998611111111111,0.00044444444444444447,0.0201125,0.03496428571428571,0.9648968253968254
cifar10_vgg11_full_fdiv_pr0.05_kc8_seed0,cifar10,vgg11,0,0.9064,0.9992638888888888,0.001,0.04805,0.075,0.9242638888888889
cifar10_vgg11_full_fdiv_pr0.05_kc8_seed1,cifar10,vgg11,1,0.9081,0.9990694444444446,0.0016666666666666668,0.05176875,0.07993571428571429,0.9191337301587302
cifar10_vgg11_full_fdiv_pr0.05_kc8_seed2,cifar10,vgg11,2,0.9085,0.9991666666666666,0.0017777777777777779,0.05216875,0.07970714285714285,0.9194595238095238
gtsrb_resnet18_full_fdiv_pr0.05_kc8_seed0,gtsrb,resnet18,0,0.9841646872525732,1.0,0.0,0.0010391923990498812,0.0014181088112204501,0.9985818911887796
gtsrb_resnet18_full_fdiv_pr0.05_kc8_seed1,gtsrb,resnet18,1,0.9871733966745844,1.0,0.0,0.001444972288202692,0.00199213889831467,0.9980078611016854
gtsrb_resnet18_full_fdiv_pr0.05_kc8_seed2,gtsrb,resnet18,2,0.9852731591448931,1.0,0.0,0.0005789786223277909,0.0009133582173962222,0.9990866417826038
gtsrb_vgg11_full_fdiv_pr0.05_kc8_seed0,gtsrb,vgg11,0,0.9749802058590658,0.9998778340911962,0.0,0.0038450118764845605,0.0057417147381517925,0.9941361193530445
gtsrb_vgg11_full_fdiv_pr0.05_kc8_seed1,gtsrb,vgg11,1,0.9692794932699921,0.9985988550838824,0.0011494252873563218,0.003854908946951702,0.006027315914489311,0.992571539169393
gtsrb_vgg11_full_fdiv_pr0.05_kc8_seed2,gtsrb,vgg11,2,0.9719714964370546,0.9987795316219205,0.0005012531328320802,0.004552652414885194,0.006341194435018663,0.9924383371869018
