dataset,model,kc,delta_clean_acc,delta_valid_asr,delta_wrong_asr,delta_single_leak,delta_invalid_leak,delta_csg
cifar10,resnet18,4,-0.0014333333333331755,-5.555555555569747e-05,0.00011111111111111112,0.00042916666666666624,0.0038888888888888896,-0.003944444444444528
cifar10,resnet18,8,-0.0016666666666667052,0.8062916666666665,-0.6347037037037037,0.005587499999999999,-0.052502380952380946,1.4094017195767194
cifar10,vgg11,4,3.333333333332966e-05,-0.00012037037037038179,0.00048148148148148155,0.0012791666666666646,0.005086111111111111,-0.005206481481481395
cifar10,vgg11,8,-0.0008333333333333526,0.7466666666666666,-0.5726296296296296,0.01411666666666666,-0.04929999999999998,1.2497287698412698
cifar100,resnet18,4,-0.002466666666666617,0.00016835016835015093,0.0,0.0008375000000000006,0.0007194444444444453,-0.0007469276094275168
cifar100,resnet18,8,-0.0043999999999999595,0.4233122895622895,-0.032929292929292926,-0.0060624999999999984,-0.2391595238095238,0.6624718133718135
cifar100,vgg11,4,0.0012333333333331975,0.00031986531986527567,-6.734006734006735e-05,0.00038333333333333275,0.0009722222222222233,-0.0006523569023568765
cifar100,vgg11,8,-0.0030333333333332213,0.31186447811447815,-0.020841750841750842,-0.009670833333333332,-0.2812327380952381,0.5930972162097161
gtsrb,resnet18,4,0.002216943784639658,0.0,0.0,4.288730535761411e-05,-6.598046978094487e-05,-4.508665435032366e-05
gtsrb,resnet18,8,0.0005806281340721142,0.9027564502219305,-0.27136752136752135,-0.0007884666138822911,-0.03983052445047695,1.1729825094622417
gtsrb,vgg11,4,-0.0013987859593560525,-1.3644131583667729e-05,2.8058361391694725e-05,0.0003035101609923463,0.0004244743555907452,-0.0004381184871744548
gtsrb,vgg11,8,0.0030614937978358236,0.8118172683915938,-0.24806421040813056,-0.002208696225917129,-0.07524459902725936,1.0552301973234022
